node1,node2,relation
CID000005358,CID000038904,C0750426
CID000003075,CID000003954,C0018802
CID000002171,CID004475485,C0149931
CID000000942,CID000005245,C0497156
CID000002118,CID000008953,C0497247
CID000000444,CID000003348,C0575090
CID000000853,CID000060835,C0265031
CID000003261,CID000010631,C0917801
CID000002907,CID000003365,C0018991
CID000003954,CID000004595,C0235974
CID000004829,CID000005073,C0015469
391104,267,interacts
CID000002118,CID000032797,C0040264
CID000010631,CID000060852,C0151706
1441,3452,interacts
CID000002802,CID000003672,C0231807
CID000004091,CID000041781,C0009676
CID000002088,CID000003158,C0005697
CID000004943,CID000005650,C0242184
81622,10695,interacts
CID000003062,CID000005734,C0020649
CID000004583,CID000068740,C0006112
CID000004034,CID000152945,C0037299
CID000000937,CID000005267,C0156369
CID000000853,CID000005358,C0001339
CID000004583,CID000005267,C0006625
CID000000772,CID000002786,C0242301
CID000002803,CID000041781,C0027051
CID000002520,CID000005523,C0575090
CID000004946,CID000005391,C0009421
CID000002786,CID000005426,C0042384
CID000003672,CID000005029,C0318712
CID000002658,CID000041781,C0003962
CID000002662,CID000004616,C0242362
CID000003325,CID000054454,C0004610
CID000003121,CID000003877,C0036572
CID000005029,CID000028112,C0037036
CID000000450,CID000003488,C0042487
CID000062924,CID004475485,C0085615
CID000002554,CID000002764,C0038663
CID000002520,CID000002666,C0003862
CID000005002,CID000005732,C0035305
CID000000942,CID000004885,C0042963
CID000002153,CID000002658,C0030196
CID000000450,CID005311181,C0003123
CID000002244,CID000002764,C0035078
CID000002462,CID000003348,C0004153
3726,3558,interacts
CID000003440,CID000004599,C0015695
CID000004946,CID004183806,C0036974
CID000003222,CID000005253,C0004604
CID000003780,CID000003954,C0014518
CID000004091,CID000125889,C0002871
11144,9201,interacts
CID000002764,CID005487301,C0003850
CID000002812,CID000004170,C0016059
CID000004812,CID000104865,C0008350
CID000003476,CID000005005,C0040460
CID000003062,CID000003488,C0035078
CID000004236,CID000004594,C0497327
CID000002812,CID000027661,C0013428
CID000003365,CID000060835,C0149871
1002,1001,interacts
CID000003890,CID000003961,C0042769
CID000004044,CID000004889,C0750426
CID000003042,CID000004885,C0011175
CID000004509,CID000062924,C0016204
CID000002650,CID000003780,C0026946
8310,114112,interacts
239,391013,interacts
CID000005523,CID000005533,C0003537
3778,483,interacts
CID000002311,CID000004691,C0042024
CID000216239,28996,targets
1020,2915,interacts
CID000004679,CID000005152,C0038002
CID000001775,CID000002156,C0020437
CID000004409,CID000004510,C0012833
CID000003385,CID000068740,C0151436
CID000004159,CID000004411,C0029408
CID000002656,CID000003403,C0232492
CID000004107,CID000004614,C0028754
CID000000444,CID000003640,C0036689
CID000003032,CID000005651,C0162529
CID000003121,CID000005073,C0030920
CID000002308,CID000005512,C0027404
CID000001302,CID000005090,C0851578
CID000000853,CID000005651,C0021141
CID000002471,CID000002909,C0178879
6157,84365,interacts
CID000002806,CID000004909,C0019112
CID000003075,CID000005090,C0041657
CID000002576,CID000004873,C0008325
CID000072938,CID000123620,C0027531
2572,2747,interacts
CID000004112,CID000150311,C0019163
CID000004159,CID000005426,C0035078
92170,10969,interacts
CID000002462,CID000003405,C0009938
CID000000853,CID000003075,C0013428
CID000003672,CID000005514,C0004096
CID000005735,CID005311048,C0020621
84134,729,interacts
221154,57085,interacts
CID000002118,CID000003043,C0039231
8294,3960,interacts
CID000004034,CID000060831,C0041834
CID000002250,CID000004170,C0009938
CID000003121,CID000060835,C0009421
CID000002806,CID000003676,C0522055
CID000003746,CID000004192,C0035078
CID000003672,CID005311297,C0032300
CID000003957,CID000068740,C0020458
CID000003929,CID000003958,C0575081
CID000002576,CID000160051,C0085649
3627,6373,interacts
CID000002022,CID000005544,C0026946
CID000002083,CID000004409,C0026858
CID000003075,CID000005090,C0018808
CID000002771,CID000005090,C0003862
5534,5515,interacts
5729,117,interacts
CID000004170,CID000004205,C0151436
CID000002666,CID000004112,C0034067
CID000004536,CID000054454,C0022408
CID000002585,CID000005291,C0442874
CID000003016,CID000059708,C0221264
CID000004679,CID000216239,C1261473
CID000004112,CID000005645,C0020625
CID000003639,CID000004885,C0003467
CID000002187,CID000002541,C0041755
CID000002554,CID000034312,C0080179
6199,10728,interacts
CID000002666,CID000003410,C0020443
CID000004075,CID000004889,C0032227
CID000005073,CID000152945,C0008033
CID000001690,CID000151165,C0030193
2091,142940,interacts
CID000002088,CID000003345,C0011175
80205,1490,interacts
CID000001302,CID000123631,C0015230
CID000002656,CID000003954,C0152128
CID000002771,CID000004927,C0043352
CID000003929,CID000087177,C0026848
CID000002083,CID000005029,C0039503
CID000000444,CID000004771,C0003467
CID000000444,CID000005454,C0686347
CID000004064,CID000005391,C0231528
CID000002477,CID000002764,C0003504
CID000002250,CID000003510,C0206062
CID000001972,CID005481350,C0019655
CID000004900,CID000005212,C0031039
CID000003961,CID000005095,C0015230
CID000003255,CID000005544,C0027339
92815,86,interacts
9507,81792,interacts
CID000003672,CID000004634,C0010054
50809,51203,interacts
CID000003108,CID000004583,C0017168
CID000004168,CID000130881,C0011168
CID000002756,CID000005650,C0011849
CID000005533,CID000005544,C0917801
CID000003962,CID000004691,C0037299
CID000002022,CID000004819,C0025874
CID000002187,CID000003345,C0031099
2033,8294,interacts
7363,7364,interacts
CID000002118,CID000003954,C0034063
CID000003333,CID000003516,C0022660
CID000002405,CID000005038,C0022346
CID000004171,CID000004583,C0085584
CID000002749,CID000003639,C0018188
CID000003032,CID000110634,C0037763
CID000003899,CID000004635,C0027947
10410,3659,interacts
60488,79159,interacts
CID000003154,CID000060147,C0042029
7386,4708,interacts
CID000003702,CID000124087,C0013221
CID000003157,CID000003440,C0043117
CID000002806,CID000002891,C0013298
CID000004449,CID000004920,C0026858
55819,118424,interacts
2015,3586,interacts
CID000003062,CID000443871,C0000737
4624,4636,interacts
6688,6689,interacts
CID000004885,CID000123620,C0021141
CID000003640,CID000005650,C0520474
6649,341947,interacts
CID000003658,CID000005076,C0575090
CID000002678,CID000005245,C0221776
CID000004585,CID006398525,C0003862
CID000003478,CID000038904,C0038833
CID000002802,CID000003823,C0043094
CID000004034,CID000004259,C0028081
CID000002462,CID000130881,C0002871
CID000003419,CID000003957,C0028081
CID000002244,CID000054808,C0750426
581,55968,interacts
CID000002802,CID000004679,C0002871
CID000000937,CID000002162,C0031350
55176,9789,interacts
CID000003339,CID000003672,C0018939
CID000002764,CID000004917,C0014866
CID000003198,CID000004091,C0006325
CID000004900,CID000027661,C0011609
CID000004510,CID000004594,C0020456
CID000001983,CID000003676,C0030196
87178,6832,interacts
CID000005391,CID000005512,C0019655
CID000000085,CID000003062,C0039239
CID000002631,CID000003937,C0022661
10592,9493,interacts
CID000004052,CID000004171,C0012813
CID000003672,CID000004691,C0020542
CID000003440,CID000005090,C0006145
10022,54429,interacts
CID000003937,CID000197712,C0013404
CID000003222,CID000004900,C0149871
CID000003062,CID000005523,C0028081
4041,9101,interacts
CID000004485,CID000004900,C0011881
10092,7314,interacts
9612,25855,interacts
CID000000444,CID000003393,C1456784
CID000003154,CID000005005,C0042909
CID000004542,CID000004691,C0007860
CID000004856,CID000060835,C0020621
CID000004691,CID000065999,C0034372
CID000005038,CID000077999,C0178282
CID000001302,CID000003672,C0004093
CID000003386,CID000005656,C1510431
CID000003003,CID000005401,C0027497
79727,8886,interacts
CID000002658,CID000003157,C0041912
CID000003062,CID000006691,C0079035
CID000002284,CID000005487,C0002453
3006,10987,interacts
CID000000772,CID000104865,C0243026
CID000002541,CID000003157,C0085615
CID000060865,CID000150311,C0027051
25898,222235,interacts
CID000002646,CID000003446,C0027051
CID000002083,CID000003954,C0002726
CID000004595,CID000004691,C0031117
CID000004168,CID000005234,C0019158
CID000003003,CID000003121,C0085605
CID000002662,CID000004594,C0152031
CID000004170,CID000170361,C0398353
5058,8359,interacts
CID000004205,CID000004253,C0008350
CID000002802,CID000005212,C0037284
CID000003222,CID000003899,C1145670
7042,51571,interacts
CID000002244,CID000002476,C0018524
CID000004034,CID000054454,C0037011
CID000005203,CID003085017,C0011606
CID000000937,CID000002162,C0006267
CID000003161,CID000004594,C0010823
CID000002895,CID000003639,C0042029
CID000003255,CID000003333,C0010200
2885,971,interacts
CID000000596,CID000002162,C0023530
CID000002662,CID000038904,C0005001
5073,54704,interacts
CID000002118,CID000003657,C0750426
CID000005656,CID000062924,C0342579
2752,5798,interacts
5747,1756,interacts
57062,387338,interacts
CID000003386,CID000005090,C0018621
9826,10507,interacts
CID000004873,CID000123620,C0030305
8449,9295,interacts
CID000003461,CID000006691,C0020625
CID000003222,CID000004168,C0020615
CID000000937,CID000002764,C0003507
CID000004595,CID000005077,C0002874
CID000002812,CID000004259,C0041834
440738,89890,interacts
22974,891,interacts
6594,121504,interacts
CID000060184,CID000068740,C0030305
CID000003877,CID000005267,C0232492
54544,57085,interacts
CID000004159,CID000004927,C0699744
CID000004616,CID000005152,C0020458
CID000004873,CID000019090,C0011991
CID000003826,CID000004173,C1510431
CID000004946,CID000005391,C0038019
CID000002249,CID000003640,C0028734
CID000003780,CID000004178,C0043096
CID000004634,CID000005152,C0036983
CID000005426,CID000054688,C0002726
CID000003355,CID000016231,C0020649
CID000004171,CID000072054,C0037672
CID000004900,CID000213039,C0220983
CID000003961,CID000005426,C0034063
CID000000772,CID000019090,C0003123
CID000003825,CID000087177,C0917799
CID000003446,CID000003825,C0917801
8773,8774,interacts
CID000005212,CID000005647,C0020649
123879,8453,interacts
CID000003823,CID000005401,C0220981
CID000005039,CID000005267,C0038002
6230,6224,interacts
CID000001983,CID000002284,C0036341
CID000004509,CID000005650,C0149721
CID000004595,CID000065999,C0020456
CID000004585,CID000005523,C0001818
55039,127253,interacts
CID000000853,CID000004205,C0013221
CID000003639,CID000004205,C0020598
CID000152945,CID003468412,C0027707
CID000002818,CID000004917,C0006826
CID000003016,CID000005064,C0000833
CID000003883,CID000151165,C0026946
CID000005719,CID000060865,C0004604
CID000000450,CID000004543,C0017181
CID000003324,CID000003961,C0019270
CID000004634,CID006398525,C0009421
CID000002187,CID000150311,C0017574
CID000003003,CID000130881,C0009421
65993,54948,interacts
51741,8337,interacts
CID000005039,CID000054454,C0007177
CID000000853,CID000002656,C0014457
CID000003639,CID000003746,C0024117
CID000000271,CID000003954,C0008767
6188,11269,interacts
CID000002666,CID000004200,C0022661
4650,8976,interacts
CID000001117,CID000003937,C0008350
CID000003345,CID000005029,C0024312
CID000003386,CID000004236,C0043094
CID000002756,CID000003954,C0009676
CID000003958,CID000004547,C0020453
CID000004771,CID000125889,C0030193
CID000002720,CID000005038,C0231528
CID000003937,CID000004159,C0014868
CID000003672,CID000003958,C0030486
CID000004894,CID000005038,C0032300
CID000002478,CID000003016,C0035455
55665,5339,interacts
CID000004543,CID000060854,C0014868
CID000003715,6010,targets
CID000004158,CID000060147,C0030193
401036,84861,interacts
4603,64848,interacts
CID000003883,CID000060835,C0152027
CID000000444,CID000004691,C0025160
CID000005038,CID000104741,C0231528
CID000002662,CID000667490,C0013298
CID000002909,CID000003784,C0017160
65061,8881,interacts
CID000000444,CID000005267,C0003962
CID000002244,CID000002678,C0030252
CID000001302,CID006447131,C0013595
CID000001983,CID000041781,C0242184
CID000003639,CID000004409,C0392525
CID000002471,CID000005391,C0006277
CID000003440,CID000005005,C0018944
CID000002764,CID000003825,C0003862
CID000003446,CID000154059,C0012833
CID000005978,CID000054454,C0020649
CID000002585,CID000005245,C0018944
CID000003148,CID000003325,C0042109
10527,3836,interacts
CID000003958,CID000027661,C0011168
1491,8833,interacts
CID000002088,CID000002171,C0003862
10911,2862,interacts
CID000001117,CID000004594,C0019079
CID000002249,CID000003890,C0034902
CID000004894,CID000060852,C0018524
CID000003062,CID000003446,C0031212
CID000002907,CID000003510,C0018989
6367,2919,interacts
CID000003639,CID000005210,C0151706
CID000002173,CID000004873,C0034212
CID000002524,CID000062924,C0010054
CID000000444,CID000004885,C0018524
CID000003883,CID000005005,C0005747
CID000004845,CID000005647,C0311394
CID000003310,CID000005978,C0085096
CID000002678,CID000005538,C0019655
CID000054454,CID000130881,C0029443
CID000004158,CID000005203,C0085584
84330,23030,interacts
CID000002249,CID004475485,C0002170
CID000003440,CID000005514,C0085619
CID000002554,CID000005734,C0011168
CID000002662,CID000004740,C0018800
CID000001302,CID000001978,C0018932
CID000002713,CID000006691,C0029442
CID000000596,CID000002771,C0010200
245939,245930,interacts
2131,65258,interacts
CID000001983,CID000003381,C0042487
8503,55613,interacts
CID000004510,CID000004889,C0038358
57727,54830,interacts
CID000003488,CID000443871,C0041657
CID000004543,CID000005514,C0267596
CID000003937,CID000005090,C0031039
CID000003957,CID000160051,C0030554
CID000000450,CID000002171,C0032285
CID000002462,CID000004253,C0018926
CID000002435,CID000003062,C0220983
CID000001302,CID000003404,C0149514
CID000004236,CID000005029,C0013144
CID000000450,CID000004920,C0015403
246744,1394,interacts
CID000002153,CID000002576,C0018790
CID000000450,CID000002088,C0151706
CID000005005,CID000150311,C0030554
CID000003461,CID000216239,C0242379
CID000004856,CID000010631,C0085631
CID000001971,CID000005212,C0017181
CID000003062,CID000005234,C0031039
CID000003639,CID000093860,C0025286
CID000060164,CID000119607,C0156404
CID000001117,CID000148211,C0032227
CID000003016,CID000005523,C0017152
CID000003440,CID000093860,C0027719
CID000003386,CID000093860,C0018524
CID000004236,CID000054454,C0036396
CID000002267,CID000150311,C0342579
CID000003957,CID000004635,C0231528
CID000003405,CID000004594,C0031117
5290,1020,interacts
CID000002550,CID000060147,C0021311
CID000004253,CID000004506,C0086769
51150,8856,interacts
CID000005039,CID000072054,C0870082
CID000001983,CID000003929,C0027707
CID000002269,CID000005538,C0021845
CID000005005,CID000005717,C0042510
CID000004168,CID000004829,C0027051
CID000005039,CID000005090,C0043094
CID000002088,CID000002909,C0028081
79867,116255,interacts
CID000003419,CID000060835,C0043096
CID000002435,CID000004168,C0232492
CID000004171,CID000005040,C0042373
92105,55135,interacts
2876,9588,interacts
6819,8534,interacts
245936,245928,interacts
CID000004679,CID000005267,C0020453
CID000000937,CID000002764,C0022104
CID000000853,CID000002818,C0271650
CID000002576,CID000003016,C0020295
CID000004112,CID000068740,C0030252
CID000000444,CID000002658,C0020649
CID000004614,CID000130881,C0027059
CID000004107,CID000005514,C0018824
CID000002269,CID000054841,C0917801
CID000004771,CID000028112,C0022408
CID000005978,CID000038904,C0009421
CID000002524,CID000008953,C0004238
CID000003826,CID003468412,C0038663
CID000004212,CID000005523,C0038999
CID000001302,CID000005717,C0520474
CID000000853,CID000004927,C0678222
CID000002806,CID000003510,C0017672
5293,6347,interacts
CID000002187,CID000150311,C0029442
CID000002487,CID000004171,C0008035
CID000004583,CID000005544,C0018965
CID000000444,CID000005076,C0264545
CID000003016,CID000004819,C0009241
CID000060835,CID000170361,C0040213
CID000002550,CID000005650,C0018681
5213,10482,interacts
CID000003075,CID000003355,C0018681
CID000003516,CID000003672,C0231528
57647,26168,interacts
CID000003957,CID000059708,C0002962
22938,10907,interacts
CID000003446,CID000130881,C0520474
10959,10652,interacts
CID000002160,CID000002187,C0005747
CID000003419,CID000003958,C0011603
CID000003325,CID005311082,C0024050
CID000004091,CID000004635,C0035410
CID000004510,CID000004691,C0151632
CID000003161,CID000004058,C0149745
CID000003476,CID000005064,C0497156
CID000001983,CID000003075,C0007859
10616,9099,interacts
CID000002658,CID000005656,C0004238
CID000060865,CID000083786,C0033774
CID000002978,CID000004583,C0039231
3201,8342,interacts
10972,10282,interacts
CID000003883,CID000119607,C0038012
CID000002083,CID000003463,C0039070
CID000003467,CID000006691,C0020542
CID000001302,CID000002471,C0030193
CID000003639,CID000005412,C0015967
CID000002812,CID000003386,C0013604
CID000002244,CID005493444,C0242429
CID000003869,CID000004173,C0018418
122481,23534,interacts
CID000002156,CID000004253,C0018939
CID000000564,CID000005039,C0028081
CID000003345,CID000003639,C0005586
CID000002812,CID000003928,C0028081
CID000002022,CID000508230,C0014868
6432,51362,interacts
84993,7917,interacts
10752,6714,interacts
CID000003003,CID000012536,C0030252
CID000002550,CID000004201,C0018802
CID000003405,CID000004499,C0020615
CID000002576,CID000004594,C0020502
CID000004449,CID000005358,C0042024
CID000002118,CID000005267,C0040034
CID000003308,CID000004411,C0018944
CID000004075,CID000054454,C0002390
5594,255189,interacts
259296,84539,interacts
9128,7316,interacts
CID000002162,CID000002713,C0018524
CID000002462,CID000003652,C0004238
CID000002771,CID000002909,C0002871
CID000003075,CID000005029,C0034212
CID000002173,CID000005538,C0015672
CID000003386,CID000004253,C0027051
CID000002806,CID000003957,C0020473
CID000003899,CID000005203,C0015256
CID000002153,CID000002162,C0015967
CID000002585,CID000004829,C0038999
CID000003746,CID000005038,C0398353
CID000001978,CID000004091,C0014733
CID000003062,CID000005002,C0035258
CID000002806,CID000444013,C0018946
CID000004168,CID000004845,C0013362
CID000004485,CID000005039,C0079035
126382,9123,interacts
CID000005002,CID000005533,C0235946
9519,2957,interacts
CID000003648,CID000005358,C0015672
CID000003325,CID000060843,C0032285
CID000001302,CID000003672,C0007462
CID000110635,CID000170361,C0003862
CID000000143,CID000054688,C0027947
CID000005077,CID000005090,C0242362
7297,22843,interacts
CID000003075,CID000019090,C0027404
CID000002818,CID000003878,C0149726
CID000003075,CID000005076,C0008033
CID000004058,CID000024486,C0043096
CID000002806,CID000003405,C0042907
CID000004091,CID000060795,C0022660
CID000002524,CID000176168,C0036974
CID000000143,CID000002802,C0037315
CID000003419,CID000003672,C0035410
25843,4831,interacts
CID000003121,CID000123620,C0520474
CID000002471,CID000003488,C0032227
CID000002656,CID000003937,C0038362
CID000003672,CID000005487,C0010054
CID000003648,CID000003658,C0030305
CID000002524,CID000003003,C0007642
CID000002609,CID000005391,C0013473
CID000002160,CID000004829,C0010054
CID000003899,CID000004205,C0018681
CID000000444,CID000005514,C0018926
CID000002666,CID000004927,C0020505
CID000004425,CID000004873,C0040034
4717,4711,interacts
CID000003339,CID005353980,C0002622
CID000002284,CID000004595,C0039070
CID000002435,CID000005064,C0020550
CID000004159,CID000004679,C0497156
CID000000191,CID000083786,C0012691
CID000041781,CID000083786,C0267112
CID000003639,CID000004107,C0040997
CID000003386,CID000005719,C0267596
CID000004044,CID000005538,C0013604
CID000002907,CID000004900,C0018932
CID000003003,CID000003937,C0043144
CID000003348,CID000005090,C0042571
CID000004054,CID000004091,C0442874
CID000002118,CID000003954,C0020453
CID000004509,CID000034312,C0003126
CID000004917,CID003002190,C0015967
CID000004885,CID000087177,C0018524
23350,6635,interacts
CID000002083,CID000002550,C0030193
CID000002250,CID000004595,C0038454
CID000003961,CID000005002,C0003811
CID000003121,CID000004873,C0019521
CID000004168,CID000004463,C0042963
6176,29093,interacts
CID000005203,CID000005379,C0019112
CID000004058,CID000119607,C0018800
CID000002585,CID000054688,C0085584
CID000004634,CID000125889,C0008033
55622,51096,interacts
CID000002088,CID005311297,C0023518
CID000002802,CID000003385,C0041834
CID000125889,CID000163742,C0018944
CID000002764,CID005381226,C0034069
CID000002756,CID000083786,C0015967
CID000003559,CID000003883,C0836924
CID000002576,CID000005487,C0018099
CID000002462,CID000003308,C0004239
CID000002520,CID000003937,C0151825
CID000000772,CID000074989,C0011991
CID000005039,CID000005090,C0018946
29889,51605,interacts
CID000003672,CID000003883,C0030920
CID000003937,CID000124087,C0019825
CID000003883,CID000005095,C0039231
CID000003016,CID000004409,C0038525
CID000003750,CID000003958,C0030312
2197,6223,interacts
CID000003883,CID000004173,C0000731
11258,5116,interacts
CID000002771,CID000003937,C0750876
CID000003333,CID000003348,C0006325
CID000003062,CID000148211,C0024894
115106,90410,interacts
CID000003016,CID003085017,C0398353
CID000004594,CID000004920,C0018681
CID000003749,CID000060843,C0020649
CID000002554,CID000004946,C0149725
CID000005651,CID006398970,C0018674
55850,26580,interacts
CID000000271,CID000156419,C0007785
CID000002806,CID000004909,C0042025
CID000003488,CID000004889,C0015256
CID000004873,CID000060147,C0040264
CID000003075,CID000003350,C0151904
2534,6195,interacts
CID000000143,CID000003222,C0035222
CID000002895,CID000123620,C0022660
29765,4635,interacts
CID000002160,CID000002269,C0013395
CID000005408,CID000005523,C0235329
CID000005656,CID000071158,C0040264
6477,8065,interacts
7490,5727,interacts
CID000003339,CID000003749,C0238154
CID000002550,CID000005645,C0004096
CID000004473,CID000005267,C0001623
5970,284,interacts
CID000000271,CID004475485,C0004096
CID000002477,CID000003062,C0007787
CID000004091,CID000005478,C0039070
CID000003121,CID000005656,C0027404
CID000004829,CID000041781,C0013404
CID000002764,CID000060198,C0042109
CID000002462,CID006398970,C0038454
29105,23759,interacts
CID000002244,CID000003823,C0013404
CID000003672,CID000004159,C0033581
CID000009433,CID000087177,C0152021
83871,6812,interacts
CID000002088,CID000003746,C0022602
CID000003345,CID000005267,C0015967
CID000005538,CID000006691,C0038663
CID000004691,CID000060835,C0023211
4292,64421,interacts
CID000003161,CID000032797,C0015469
57128,3115,interacts
CID000003937,CID000005234,C0019079
CID000003405,CID000005651,C0034063
CID000003559,CID000003958,C0026650
CID000001302,CID000003440,C0025289
CID000002764,CID000004510,C0438215
CID000002812,CID000004510,C0018681
CID000003639,CID000005401,C0019079
CID000002156,CID000002909,C0011206
CID000003658,CID000005090,C0011603
CID000003440,CID000005155,C0020621
CID000002083,CID000005039,C0020538
CID000003158,CID000003962,C0018674
CID000003157,CID000004927,C0027719
351,1238,interacts
CID000004635,CID000125889,C0001969
CID000002083,CID000004889,C0016053
CID000005523,CID000005533,C0022660
CID000005095,CID003085017,C0030554
CID000004253,CID000004594,C0011991
CID000003639,CID000005523,C0004604
CID000004253,CID000005496,C0022660
272,213,interacts
CID000003672,CID000005650,C0039231
CID000002171,CID000003672,C1145670
CID000002662,CID005381226,C0004096
CID000003403,CID000003672,C0029408
CID000002554,CID000002806,C0037284
CID000003749,CID000005076,C0392525
CID000004409,CID000060835,C0027947
CID000004679,CID000054454,C0030312
CID000003478,CID000004583,C0027051
